name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
dave b.,1,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,8.51
drew,2,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,12.18
liz,3,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,4.79
barb,4,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,3.59
dave monkey,7,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,6.5
purdue pete,8,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,13.09
stef,9,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,7.92
peninsular danny,10,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,13.58
jake,13,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,10.31
terry,14,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,7.07
tyler,15,Florida St.,Vermont,11,$0.0,0.0%,0.0%,0.0%,10.61

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Buffalo,Arizona St./St. John's,12,$168.87,63.0%,20.36%,0.0%,1.7
terry,14,Buffalo,Arizona St./St. John's,12,$97.96,37.0%,10.0%,0.0%,2.26
gully,11,Buffalo,Arizona St./St. John's,12,$26.04,0.0%,42.0%,0.0%,2.98
chad,5,Buffalo,Arizona St./St. John's,12,$20.69,0.0%,33.36%,0.0%,3.13
bob,0,Buffalo,Arizona St./St. John's,12,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,7.79
drew,2,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,11.67
liz,3,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,4.88
barb,4,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,7.21
dave monkey,7,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,6.0
purdue pete,8,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,11.33
peninsular danny,10,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,13.0
jake,13,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,9.9
tyler,15,Buffalo,Arizona St./St. John's,12,$0.0,0.0%,0.0%,0.0%,9.1

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Texas Tech,Northern Ky,13,$248.0,100.0%,0.0%,0.0%,1.0
liquorman,6,Texas Tech,Northern Ky,13,$45.82,0.0%,73.91%,0.0%,2.27
stef,9,Texas Tech,Northern Ky,13,$13.58,0.0%,21.91%,0.0%,4.14
barb,4,Texas Tech,Northern Ky,13,$10.0,0.0%,0.0%,100.0%,16.0
chad,5,Texas Tech,Northern Ky,13,$3.1,0.0%,5.0%,0.0%,4.21
bob,0,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,15.0
dave b.,1,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,9.38
drew,2,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,13.64
liz,3,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,5.85
dave monkey,7,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,7.21
purdue pete,8,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,12.49
peninsular danny,10,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,11.92
gully,11,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,4.1
jake,13,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,9.98
terry,14,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,8.24
tyler,15,Texas Tech,Northern Ky,13,$0.0,0.0%,0.0%,0.0%,10.04

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
liquorman,6,Florida,Nevada,14,$149.7,54.0%,25.45%,0.0%,1.67
RF,12,Florida,Nevada,14,$118.08,40.0%,30.45%,0.0%,2.01
chad,5,Florida,Nevada,14,$27.28,6.0%,20.0%,0.0%,3.31
